Time (s),Ego Speed (km/h),Lead Speed (km/h),Smoothed Lead Speed (km/h),Distance Between (m),Ego Distance Covered (m),Lead Vehicle Distance Covered (m),Ego Speed (m/s),Smoothed Lead Speed (m/s),Ego Acceleration (m/s²),Lead Acceleration (m/s²),Lead Acceleration (Theoretical),Lead Braking Distance (m),Braking Phase
9.65,19.8,19.91,19.99,46.81,26.91,32.92,5.5,5.553,-0.611,0.0,0.0,,
9.7,19.7,20.08,19.99,46.81,27.18,33.19,5.472,5.553,-0.556,0.0,0.0,,
9.75,19.64,19.91,19.99,46.81,27.46,33.47,5.456,5.553,-0.333,0.0,0.0,,
9.8,19.64,20.08,19.99,46.82,27.73,33.75,5.456,5.553,0.0,0.0,0.0,,
9.85,19.69,19.91,19.99,46.82,28.0,34.03,5.469,5.553,0.278,0.0,0.0,,
9.9,19.8,20.08,19.99,46.83,28.28,34.3,5.5,5.553,0.611,0.0,0.0,,
9.95,19.93,19.91,19.99,46.83,28.55,34.58,5.536,5.553,0.722,0.0,0.0,,
10.0,20.04,20.08,19.99,46.83,28.83,34.86,5.567,5.553,0.611,0.0,0.0,,
10.05,20.11,19.91,19.99,46.83,29.11,35.14,5.586,5.553,0.389,0.0,0.0,,
10.1,20.15,20.08,19.99,46.83,29.39,35.42,5.597,5.553,0.222,0.0,0.0,,
10.15,20.15,19.91,19.99,46.82,29.67,35.69,5.597,5.553,0.0,0.0,0.0,,
10.2,20.11,20.08,19.99,46.82,29.95,35.97,5.586,5.553,-0.222,0.0,0.0,,
10.25,20.04,19.91,19.99,46.82,30.23,36.25,5.567,5.553,-0.389,0.0,0.0,,
10.3,19.95,20.08,19.99,46.82,30.51,36.53,5.542,5.553,-0.5,0.0,0.0,,
10.35,19.85,19.91,19.99,46.82,30.78,36.8,5.514,5.553,-0.556,0.0,0.0,,
10.4,19.77,20.08,19.99,46.83,31.06,37.08,5.492,5.553,-0.444,0.0,0.0,,
10.45,19.72,19.91,19.99,46.83,31.33,37.36,5.478,5.553,-0.278,0.0,0.0,,
10.5,19.7,20.08,19.99,46.83,31.6,37.64,5.472,5.553,-0.111,0.0,0.0,,
10.55,19.73,19.91,19.99,46.84,31.88,37.91,5.481,5.553,0.167,0.0,0.0,,
10.6,19.81,20.08,19.99,46.84,32.15,38.19,5.503,5.553,0.444,0.0,0.0,,
10.65,19.93,19.91,19.99,46.84,32.43,38.47,5.536,5.553,0.667,0.0,0.0,,
10.7,20.06,20.08,19.99,46.84,32.71,38.75,5.572,5.553,0.722,0.0,0.0,,
10.75,20.19,19.91,19.99,46.84,32.99,39.03,5.608,5.553,0.722,0.0,0.0,,
10.8,20.3,20.08,19.99,46.84,33.27,39.3,5.639,5.553,0.611,0.0,0.0,,
10.85,20.37,19.91,19.99,46.83,33.55,39.58,5.658,5.553,0.389,0.0,0.0,,
10.9,20.37,20.08,19.99,46.83,33.83,39.86,5.658,5.553,0.0,0.0,0.0,,
10.95,20.31,19.91,19.99,46.82,34.12,40.14,5.642,5.553,-0.333,0.0,0.0,,
11.0,20.19,20.08,19.99,46.82,34.4,40.41,5.608,5.553,-0.667,0.0,0.0,,
