Frame,Actor_206,Ego_Vehicle
795,14.24,12.55
796,14.24,12.69
797,14.24,12.84
798,14.24,12.99
799,14.24,13.14
800,14.24,13.29
801,14.24,13.44
802,14.24,13.58
803,14.24,13.71
804,14.24,13.83
805,14.24,13.98
806,14.24,14.17
807,14.24,14.39
808,14.24,14.62
809,14.24,14.85
810,14.24,15.06
811,14.24,15.25
812,14.24,15.42
813,14.24,15.56
814,14.24,15.69
815,14.24,15.79
816,14.24,15.88
817,14.24,15.97
818,14.24,16.1
819,14.24,16.27
820,14.24,16.44
821,14.24,16.59
822,14.24,16.72
823,14.24,16.84
824,14.24,16.94
825,14.24,17.05
826,14.24,17.16
827,14.24,17.28
828,14.24,17.4
829,14.24,17.54
830,14.24,17.69
831,14.24,17.85
832,14.24,18.0
833,14.24,18.16
834,14.24,18.31
835,14.24,18.45
836,14.24,18.53
837,14.24,18.57
838,14.24,18.6
839,14.24,18.64
840,14.24,18.7
841,14.24,18.8
842,14.24,18.93
843,14.24,19.09
844,14.24,19.27
845,14.24,19.46
846,14.24,19.64
847,14.24,19.83
848,14.24,20.01
849,14.24,20.18
850,14.24,20.31
851,14.24,20.38
852,14.24,20.44
853,14.24,20.49
854,14.24,20.54
855,14.24,20.58
856,14.24,20.61
857,14.24,20.63
858,14.24,20.64
859,14.24,20.63
860,14.24,20.63
861,14.24,20.61
862,14.24,20.59
863,14.24,20.56
864,14.24,20.53
865,14.24,20.5
866,14.24,20.46
867,14.24,20.42
868,14.24,20.37
869,14.24,20.31
870,14.24,20.26
871,14.24,20.19
872,14.24,20.12
873,14.24,20.04
874,14.24,19.96
875,14.24,19.88
876,14.24,19.8
877,14.24,19.72
878,14.24,19.66
879,14.24,19.64
880,14.24,19.65
881,14.24,19.69
882,14.24,19.77
883,14.24,19.86
884,14.24,19.95
885,14.24,20.04
886,14.24,20.11
887,14.24,20.15
888,14.24,20.14
889,14.24,20.1
890,14.24,20.03
891,14.24,19.95
892,14.24,19.85
893,14.24,19.77
894,14.24,19.73
895,14.24,19.73
896,14.24,19.78
897,14.24,19.88
898,14.24,20.0
899,14.24,20.13
900,14.24,20.24
901,14.24,20.29
902,14.24,20.27
903,14.24,20.2
904,14.24,20.1
905,14.24,19.97
906,14.24,19.85
907,14.24,19.75
908,14.24,19.69
909,14.24,19.68
910,14.24,19.73
911,14.24,19.82
912,14.24,19.96
913,14.24,20.11
914,14.24,20.25
915,14.24,20.37
916,14.24,20.45
917,14.24,20.47
918,14.24,20.43
919,14.24,20.34
920,14.24,20.2
921,14.24,20.05
922,14.24,19.9
923,14.24,19.81
924,14.24,19.8
925,14.24,19.86
926,14.24,19.99
927,14.24,20.17
928,14.24,20.36
929,14.24,20.54
930,14.24,20.65
931,14.24,20.64
932,14.24,20.49
933,14.24,20.24
934,14.24,19.94
935,14.24,19.61
936,14.24,19.33
937,14.24,19.13
938,14.24,19.07
939,14.24,19.15
940,14.24,19.34
941,14.24,19.59
942,14.24,19.85
943,14.24,20.08
944,14.24,20.24
945,14.24,20.35
946,14.24,20.37
947,14.24,20.29
948,14.24,20.14
949,14.24,19.94
950,14.24,19.74
951,14.24,19.57
952,14.24,19.47
953,14.24,19.46
954,14.24,19.55
955,14.24,19.73
956,14.24,19.96
957,14.24,20.2
958,14.24,20.41
959,14.24,20.57
960,14.24,20.63
961,14.24,20.59
962,14.24,20.47
963,14.24,20.27
964,14.24,20.05
965,14.24,19.86
966,14.24,19.68
967,14.24,19.52
968,14.24,19.44
969,14.24,19.44
970,14.24,19.5
971,14.24,19.58
972,14.24,19.68
973,14.24,19.75
974,14.24,19.79
975,14.24,19.77
976,14.24,19.71
977,14.24,19.65
978,14.24,19.59
979,14.24,19.56
980,14.24,19.58
981,14.24,19.63
982,14.24,19.71
983,14.24,19.82
984,14.24,19.93
985,14.24,20.04
986,14.24,20.14
987,14.24,20.22
988,14.24,20.25
989,14.24,20.24
990,14.24,20.17
991,14.24,20.07
992,14.24,19.95
993,14.24,19.84
994,14.24,19.74
995,14.24,19.71
996,14.24,19.74
997,14.24,19.82
998,14.24,19.94
999,14.24,20.07
1000,14.24,20.19
1001,14.24,20.27
1002,14.24,20.31
1003,14.24,20.3
1004,14.24,20.24
1005,14.24,20.15
1006,14.24,20.03
1007,14.24,19.92
1008,14.24,19.84
1009,14.24,19.77
1010,14.24,19.76
1011,14.24,19.79
1012,14.24,19.86
1013,14.24,19.96
1014,14.24,20.06
1015,14.24,20.13
1016,14.24,20.18
1017,14.24,20.18
1018,14.24,20.12
1019,14.24,20.01
1020,14.24,19.88
1021,14.24,19.73
1022,14.24,19.59
1023,14.24,19.49
1024,14.24,19.46
1025,14.24,19.51
1026,14.24,19.62
1027,14.24,19.77
1028,14.24,19.95
1029,14.24,20.12
1030,14.24,20.25
1031,14.24,20.32
1032,14.24,20.31
1033,14.24,20.19
1034,14.24,20.0
1035,14.24,19.75
1036,14.24,19.51
1037,14.24,19.29
1038,14.24,19.12
1039,14.24,19.02
1040,14.24,18.99
1041,14.24,19.03
1042,14.24,19.12
1043,14.24,19.24
1044,14.24,19.36
1045,14.24,19.46
1046,14.24,19.52
1047,14.24,19.53
1048,14.24,19.46
1049,14.24,19.32
1050,14.24,19.14
1051,14.24,18.94
1052,14.24,18.76
1053,14.24,18.61
1054,14.24,18.5
1055,14.24,18.47
1056,14.24,18.51
1057,14.24,18.61
1058,14.24,18.75
1059,14.24,18.91
1060,14.24,19.05
1061,14.24,19.14
1062,14.24,19.17
1063,14.24,19.12
1064,14.24,19.01
1065,14.24,18.83
1066,14.24,18.63
1067,14.24,18.44
1068,14.24,18.34
1069,14.24,18.35
1070,14.24,18.46
1071,14.24,18.62
1072,14.24,18.8
1073,14.24,18.95
1074,14.24,19.05
1075,14.24,19.07
1076,14.24,19.0
1077,14.24,18.84
1078,14.24,18.63
1079,14.24,18.4
1080,14.24,18.19
1081,14.24,18.02
1082,14.24,17.92
1083,14.24,17.9
1084,14.24,17.96
1085,14.24,18.09
1086,14.24,18.26
1087,14.24,18.44
1088,14.24,18.6
1089,14.24,18.67
1090,14.24,18.65
1091,14.24,18.57
1092,14.24,18.45
1093,14.24,18.3
1094,14.24,18.16
1095,14.24,18.07
1096,14.24,18.05
1097,14.24,18.08
1098,14.24,18.15
1099,14.24,18.23
1100,14.24,18.29
1101,14.24,18.32
1102,14.24,18.29
1103,14.24,18.21
1104,14.24,18.09
1105,14.24,17.94
1106,14.24,17.8
1107,14.24,17.67
1108,14.24,17.57
1109,14.24,17.53
1110,14.24,17.54
1111,14.24,17.61
1112,14.24,17.7
1113,14.24,17.8
1114,14.24,17.86
1115,14.24,17.88
1116,14.24,17.85
1117,14.24,17.79
1118,14.24,17.69
1119,14.24,17.58
1120,14.24,17.46
1121,14.24,17.38
1122,14.24,17.36
1123,14.24,17.37
1124,14.24,17.41
1125,14.24,17.48
1126,14.24,17.56
1127,14.24,17.64
1128,14.24,17.72
1129,14.24,17.76
1130,14.24,17.76
1131,14.24,17.72
1132,14.24,17.64
1133,14.24,17.54
1134,14.24,17.44
1135,14.24,17.36
1136,14.24,17.33
1137,14.24,17.36
1138,14.24,17.41
1139,14.24,17.48
1140,14.24,17.57
1141,14.24,17.65
1142,14.24,17.7
1143,14.24,17.7
1144,14.24,17.66
1145,14.24,17.58
1146,14.24,17.48
1147,14.24,17.35
1148,14.24,17.22
1149,14.24,17.12
1150,14.24,17.07
1151,14.24,17.08
1152,14.24,17.14
1153,14.24,17.24
1154,14.24,17.36
1155,14.24,17.48
1156,14.24,17.59
1157,14.24,17.66
1158,14.24,17.68
1159,14.24,17.64
1160,14.24,17.54
1161,14.24,17.42
1162,14.24,17.31
1163,14.24,17.23
1164,14.24,17.18
1165,14.24,17.17
1166,14.24,17.2
1167,14.24,17.27
1168,14.24,17.37
1169,14.24,17.48
1170,14.24,17.56
1171,14.24,17.6
1172,14.24,17.57
1173,14.24,17.49
1174,14.24,17.37
1175,14.24,17.23
1176,14.24,17.11
1177,14.24,17.05
1178,14.24,17.03
1179,14.24,17.06
1180,14.24,17.11
1181,14.24,17.16
1182,14.24,17.2
1183,14.24,17.19
1184,14.24,17.13
1185,14.24,17.04
1186,14.24,16.93
1187,14.24,16.81
1188,14.24,16.68
1189,14.24,16.53
1190,14.24,16.36
1191,14.24,16.19
1192,14.24,16.02
1193,14.24,15.88
1194,14.24,15.75
1195,14.24,15.65
1196,14.24,15.56
1197,14.24,15.5
1198,14.24,15.47
1199,14.24,15.42
1200,14.24,15.36
1201,14.24,15.27
1202,14.24,15.15
1203,14.24,15.0
1204,14.24,14.81
1205,14.24,14.6
1206,14.24,14.38
1207,14.24,14.18
1208,14.24,13.99
1209,14.24,13.82
1210,14.24,13.67
1211,14.24,13.53
1212,14.24,13.38
1213,14.24,13.23
1214,14.24,13.05
1215,14.24,12.86
1216,14.24,12.65
1217,14.24,12.42
1218,14.24,12.19
1219,14.24,11.95
1220,14.24,11.72
1221,14.24,11.49
1222,14.24,11.27
1223,14.24,11.04
1224,14.24,10.8
1225,14.24,10.56
1226,14.24,10.34
1227,14.24,10.13
1228,14.24,9.9
1229,14.24,9.62
1230,14.24,9.32
1231,14.24,9.0
1232,14.24,8.72
1233,14.24,8.4
1234,14.24,8.06
1235,14.24,7.55
1236,14.24,7.25
1237,14.24,6.84
1238,14.24,6.46
1239,14.24,6.05
1240,14.24,5.59
1241,14.12,5.08
1242,14.42,4.53
1243,14.43,3.95
1244,14.43,3.16
1245,14.43,0.74
1246,14.44,0.0
1247,14.45,0.0
1248,14.45,0.0
1249,14.46,0.0
1250,14.46,0.0
1251,14.47,0.0
1252,14.47,0.0
1253,13.96,0.0
1254,14.17,0.0
1255,14.07,0.0
1256,14.13,0.0
1257,14.15,0.0
1258,14.17,0.0
1259,17.17,0.0
1260,17.2,0.0
1261,4.2,0.0
1262,3.29,0.0
1263,3.36,0.0
1264,3.1,0.0
1265,3.06,0.0
1266,3.27,0.0
1267,3.08,0.0
1268,3.47,0.0
1269,3.24,0.0
1270,3.18,0.0
1271,3.41,0.0
1272,3.05,0.0
1273,3.38,0.0
1274,2.24,0.0
1275,3.32,0.0
1276,1.98,0.0
1277,2.39,0.0
1278,2.29,0.0
1279,2.22,0.0
1280,2.16,0.0
1281,3.07,0.0
1282,2.5,0.0
1283,1.54,0.0
1284,1.96,0.0
1285,2.82,0.0
1286,1.79,0.0
1287,1.41,0.0
1288,0.92,0.0
1289,1.27,0.0
1290,1.59,0.0
1291,2.51,0.0
1292,4.37,0.0
1293,6.15,0.0
1294,7.27,0.0
1295,8.7,0.0
1296,1.52,0.0
1297,1.12,0.0
1298,11.04,0.0
1299,10.4,0.0
1300,13.28,0.0
1301,14.77,0.0
1302,15.37,0.0
1303,15.56,0.0
1304,15.45,0.0
1305,15.36,0.0
1306,16.01,0.0
1307,15.35,0.0
1308,14.38,0.0
1309,14.68,0.0
1310,14.97,0.0
1311,15.05,0.0
1312,14.86,0.0
1313,14.71,0.0
1314,14.53,0.0
1315,14.32,0.0
1316,14.11,0.0
1317,14.13,0.0
1318,15.37,0.0
1319,16.54,0.0
1320,16.79,0.0
1321,17.33,0.0
1322,17.65,0.0
1323,17.99,0.0
1324,17.65,0.0
1325,17.14,0.0
1326,16.85,0.0
1327,16.65,0.0
1328,17.04,0.0
1329,16.98,0.0
1330,17.91,0.0
1331,18.9,0.0
1332,19.18,0.0
1333,19.31,0.0
1334,19.54,0.0
1335,19.61,0.0
1336,19.68,0.0
1337,19.5,0.0
1338,19.03,0.0
1339,18.88,0.0
1340,17.68,0.0
1341,16.94,0.0
1342,16.84,0.0
1343,16.67,0.0
1344,16.59,0.0
1345,16.58,0.0
1346,15.33,0.0
1347,14.41,0.0
1348,14.53,0.0
1349,14.57,0.0
1350,14.47,0.0
1351,14.35,0.0
1352,14.25,0.0
1353,14.26,0.0
