sid,ego_speed,other_speed,other_distance,timeout,loss,min_ttc,collision,summary_log
1770768763.304-3393,14.380258189944431,43.111124271486474,15.767673981667887,90.0,1000000.0,,0,
1770768763.304-3366,44.846587752648404,27.466344536823662,9.59974886406447,90.0,1000000.0,,0,
1770768913.462-8010,44.59056707101566,35.50353696368709,19.828112419173234,90.0,1000000.0,,0,
1770769068.544-1410,48.507881926496395,11.900591251708681,8.11350111450523,90.0,1000000.0,,0,
1770769219.236-9286,11.23012756183998,40.033608533035505,11.9634153766476,90.0,1000000.0,,0,
1770769219.237-4304,44.59056707101566,35.50353696368709,19.828112419173234,90.0,1000000.0,,0,
1770769370.167-253,45.60244340073382,16.519173683201277,13.300814159521371,90.0,1000000.0,,0,
1770769520.865-1889,47.75431981691658,45.05456952400537,18.317195087799426,90.0,2.622694161262453,2.622694161262453,0,
1770769638.870-2730,35.42449992624651,11.109090645193964,18.66413458869676,90.0,1000000.0,,0,
1770769785.827-398,47.75431981691658,45.05456952400537,18.317195087799426,90.0,1000000.0,,0,
1770769936.571-7235,11.843479318064167,30.4063553921483,2.746911208958476,90.0,1000000.0,,0,
1770769936.571-6002,47.02756563581384,32.465969919196525,10.629031487650849,90.0,1000000.0,,0,
1770770087.193-2177,38.56812412122541,22.94864229496305,16.16651795779061,90.0,1000000.0,,0,
1770770244.138-7588,11.843479318064167,30.4063553921483,2.746911208958476,90.0,1000000.0,,0,
1770770244.138-1295,47.02756563581384,32.465969919196525,10.629031487650849,90.0,1000000.0,,0,
1770770391.703-4727,38.56812412122541,22.94864229496305,16.16651795779061,90.0,1000000.0,,0,
1770770549.292-2803,41.69381363064366,46.84859991792464,17.904348658235733,90.0,1000000.0,,0,
1770770549.292-6708,5.561961628110147,27.501636301723508,4.226504633912192,90.0,1000000.0,,0,
1770770549.292-5606,36.43380592921964,38.40607300098975,15.158860961358595,90.0,1000000.0,,0,
1770770549.296-3672,41.69381363064366,46.84859991792464,17.904348658235733,90.0,1000000.0,,0,
1770770549.302-6103,38.45307378174216,31.544164071383815,16.05435954891115,90.0,2.362913877265377,2.362913877265377,0,
1770770675.472-2097,27.171514878424897,17.871162765847505,14.355566101201799,90.0,1000000.0,,0,
1770770830.866-2512,49.48122254265433,44.0443669050499,18.449530884544167,90.0,1000000.0,,0,
1770770981.543-2264,38.45307378174216,31.544164071383815,16.05435954891115,90.0,1000000.0,,0,
