sid,ego_speed,other_speed,other_distance,timeout,min_ttc,collision,loss
1770728442.579-1930,24.683047641109486,21.02171158017233,15.039216618926224,90.0,2.289264829302889,0,2.289264829302889
1770728563.491-4607,24.683047641109486,21.02171158017233,15.039216618926224,90.0,2.352840174219867,0,2.352840174219867
1770728684.463-6531,24.485088768025143,21.204435138936738,15.044112497399462,90.0,2.3244711592066856,0,2.3244711592066856
1770728805.798-7132,24.803915721781255,21.007529808947826,15.09325618447195,90.0,2.3882138067702203,0,2.3882138067702203
1770728926.084-6831,24.485088768025143,21.204435138936738,15.044112497399462,90.0,2.3675787108318027,0,2.3675787108318027
1770729046.308-3414,24.530967185849498,20.951295614089588,15.428791108978542,90.0,2.362406120043256,0,2.362406120043256
1770729167.585-5096,24.48372153224633,20.695567140401266,15.171927010109627,90.0,2.420275155270902,0,2.420275155270902
1770729288.760-7368,24.530967185849498,20.951295614089588,15.428791108978542,90.0,2.3929139137490423,0,2.3929139137490423
1770729412.315-237,34.43716489746639,15.786214481411598,4.881292693583649,90.0,10.326648426141821,0,10.326648426141821
1770729536.541-2498,25.05842976689763,20.787552412412893,15.031924707400174,90.0,2.310861597804732,0,2.310861597804732
1770729660.609-1701,24.416286685762557,20.79949036449265,15.60617887332524,90.0,2.3540359619795965,0,2.3540359619795965
1770729784.096-675,25.05842976689763,20.787552412412893,15.031924707400174,90.0,2.3094221949822424,0,2.3094221949822424
1770729907.860-6617,42.332996512088414,40.19171191371436,8.156877506335716,90.0,18.518277883504627,0,18.518277883504627
1770730032.303-9193,37.13285632240771,21.44613426980973,3.1608429628545367,90.0,18.518277883504627,0,18.518277883504627
1770730096.173-8065,42.332996512088414,40.19171191371436,8.156877506335716,90.0,18.518281228143675,0,18.518281228143675
1770730227.729-4576,47.46017139215022,21.045738250289283,5.8993950401797415,90.0,12.371441666955507,0,12.371441666955507
1770730358.724-3017,49.48157756234177,26.339325894529495,7.832398422246894,90.0,16.46808914833066,0,16.46808914833066
1770730493.283-2198,47.46017139215022,21.045738250289283,5.8993950401797415,90.0,12.371444543790915,0,12.371444543790915
1770730624.415-1121,43.223879413199334,20.264349557025735,3.7918604108432437,90.0,,0,1000000.0
1770730689.180-3935,47.47173542873349,20.975355778956704,5.930603857148733,90.0,12.371444435825726,0,12.371444435825726
1770730820.929-7401,47.26963519749448,20.917166339592008,6.036038882289713,90.0,14.419003742417924,0,14.419003742417924
1770730952.986-3604,47.47173542873349,20.975355778956704,5.930603857148733,90.0,12.371441666955507,0,12.371441666955507
1770731083.694-5692,26.75670357575121,19.823713129263684,9.74599753798042,90.0,2.3385464928926654,0,2.3385464928926654
1770731214.765-7692,26.75670357575121,19.823713129263684,9.74599753798042,90.0,2.5240275514687083,0,2.5240275514687083
1770731346.929-8018,27.11379050979629,20.223534824601334,9.82940660539861,90.0,2.430075679094045,0,2.430075679094045
1770731481.914-8590,26.880798481339237,19.931546944396136,10.031968290243979,90.0,2.27272814787479,0,2.27272814787479
1770731616.334-6804,26.880798481339237,19.931546944396136,10.031968290243979,90.0,2.378088718942259,0,2.378088718942259
1770731754.916-6566,26.96644466881306,19.91555685919901,9.874026683553655,90.0,2.555695040942508,0,2.555695040942508
1770731890.011-1444,27.011991396872354,19.84546699008434,9.85400837773296,90.0,2.630703587818407,0,2.630703587818407
1770732025.046-4328,26.96644466881306,19.91555685919901,9.874026683553655,90.0,2.4124964058230733,0,2.4124964058230733
1770732164.427-7131,26.93849131954973,19.902811433440906,9.850846533681533,90.0,2.5538207872696423,0,2.5538207872696423
1770732302.865-9368,26.833448658957433,19.944402562361383,9.785828909379706,90.0,2.57043187981701,0,2.57043187981701
1770732443.230-2942,26.93849131954973,19.902811433440906,9.850846533681533,90.0,3.3646616409223093,0,3.3646616409223093
1770732583.149-9699,26.323219958407478,19.791264582332925,10.214648853440476,90.0,2.2555236197807274,0,2.2555236197807274
1770732725.051-8405,27.57128824397343,19.62639409061726,10.29308455644409,90.0,2.3115614823333326,0,2.3115614823333326
1770732869.813-7015,26.323219958407478,19.791264582332925,10.214648853440476,90.0,,0,1000000.0
1770733015.899-1885,26.29980209286556,19.87227935473087,10.319518290737102,90.0,2.3067113716332344,0,2.3067113716332344
1770733154.638-3529,26.29164380839344,19.818036072141634,10.167796051736403,90.0,2.4060833876663934,0,2.4060833876663934
1770733292.208-5117,26.29980209286556,19.87227935473087,10.319518290737102,90.0,2.2777100860698054,0,2.2777100860698054
